Gene name	Mouse gene name	Mouse homology type
MT-TF		
MT-RNR1		
MT-TV		
MT-RNR2		
MT-TL1		
MT-ND1	mt-Nd1	ortholog_one2one
MT-TI		
MT-TQ		
MT-TM		
MT-ND2	mt-Nd2	ortholog_one2one
MT-TW		
MT-TA		
MT-TN		
MT-TC		
MT-TY		
MT-CO1	mt-Co1	ortholog_one2one
MT-TS1		
MT-TD		
MT-CO2	mt-Co2	ortholog_one2one
MT-TK		
MT-ATP8	mt-Atp8	ortholog_one2one
MT-ATP6	mt-Atp6	ortholog_one2one
MT-CO3	mt-Co3	ortholog_one2one
MT-TG		
MT-ND3	mt-Nd3	ortholog_one2one
MT-TR		
MT-ND4L	mt-Nd4l	ortholog_one2one
MT-ND4	mt-Nd4	ortholog_one2one
MT-TH		
MT-TS2		
MT-TL2		
MT-ND5	mt-Nd5	ortholog_one2one
MT-ND6	mt-Nd6	ortholog_one2one
MT-TE		
MT-CYB	mt-Cytb	ortholog_one2one
MT-TT		
MT-TP		
5S_rRNA	5S_rRNA	ortholog_one2many
		
		
		
		
5_8S_rRNA	5_8S_rRNA	ortholog_one2many
		
		
LINC02109		
LINC01115		
PCMTD2		
		
OPRL1		
NPBWR2		
		
MYT1		
KIR2DS4		
		
KIR2DL2		
KIR3DL3		
LILRP2		
INTS3		
KIR2DL4		
KIR2DL4		
LILRP2		
KIR2DL2		
KIR3DL1		
KIR2DL1		
KIR3DP1		
KIR2DL1		
LILRP2		
KIR2DS4		
KIR2DL3		
KIR2DL3		
FCAR		
KIR3DL2		
LILRP2		
KIR2DL1		
LILRP1		
		
KIR3DL1		
KIR3DL1		
		
		
		
KIR3DL1		
		
PPIAL4F		
LILRP1		
KIR2DS5		
		
U1		
RNVU1-26		
KIR2DP1		
RNVU1-2A		
KIR2DS2		
KIR2DL5B		
KIR2DL4		
KIR3DL2		
KIR2DL1		
KIR3DL3		
KIR2DS3		
KIR3DL2		
KIR2DL4		
KIR3DL1		
KIR3DL3		
KIR2DS4		
LILRP1		
KIR3DP1		
KIR2DS2		
		
KIR2DS4		
DNAH10		
KIR2DS2		
		
KIR2DL4		
LILRP2		
KIR2DL3		
KIR2DL4		
		
LILRP1		
KIR3DP1		
KIR2DS2		
KIR3DL3		
KIR2DS1		
KIR3DL1		
KIR3DL1		
		
KIR3DL3		
KIR3DP1		
KIR2DS2		
KIR2DL1		
KIR2DS4		
KIR2DL3		
		
KIR2DS4		
KIR2DP1		
NCR1		
KIR2DL4		
KIR2DL2		
KIR3DP1		
LILRP1		
KIR3DL1		
		
KIR2DL4		
KIR2DS3		
		
KIR3DL1		
KIR2DL5A		
U6		
KIR2DL4		
LILRP2		
KIR3DP1		
KIR2DL1		
KIR2DL4		
LILRP1		
LINC01839		
KIR2DS5		
KIR2DL2		
LINC02054		
KIR2DL5B		
KIR3DP1		
CCDC92		
KIR3DL3		
KIR3DS1		
KIR3DL1		
KIR3DP1		
KIR3DL3		
KIR3DL2		
KIR3DP1		
KIR3DP1		
NCR1		
LILRP1		
KIR2DL4		
FCAR		
KIR3DL1		
KIR3DL2		
U6		
		
		
KIR2DL1		
		
		
GEMIN2P1		
KIR2DL4		
U6		
		
GATAD2B		
KIR2DS4		
KIR2DL1		
LILRP1		
		
KIR3DL3		
KIR3DL1		
LILRP2		
KIR3DS1		
OR9G4		
OR5G3		
		
KIR2DS4		
OR9G3P		
OR5G1P		
SLC27A3		
KIR2DL3		
KIR3DL1		
KIR2DL2		
OR5G4P		
OR5G5P		
KIR3DL2		
KIR2DL3		
KIR3DL2		
		
KIR3DL3		
RNA5-8SN5		
5_8S_rRNA		
		
KIR2DL1		
KIR2DS4		
OR9G2P		
KIR3DL2		
OR9G1		
KIR2DL4		
KIR3DL3		
KIR2DP1		
		
OR9G9		
KIR3DL2		
LINC02735		
FCAR		
		
KIR3DL3		
LINC00254		
KIR2DL1		
HS3ST6		
MEIOB		
LINC02124		
		
ZNF43		
KIR2DS5		
		
KIR2DP1		
KIR2DL3		
KIR2DL2		
ZNF100		
KIR2DL3		
KIR3DL2		
KIR2DL4		
LILRP1		
KIR2DL5A		
KIR2DL1		
		
LILRP2		
		
CCNYL6		
		
Y_RNA		
BRI3BPP1		
Y_RNA		
Metazoa_SRP		
KRTAP9-9		
Metazoa_SRP		
VN1R84P		
LILRP1		
KIR2DP1		
MTDHP4		
		
KIR2DL3		
KIR2DL3		
KRTAP9-2		
KRTAP9-4		
KIR2DL3		
KRTAP9-3		
KRTAP9-10P		
KIR3DL3		
		
NCR1		
		
KRTAP9-2		
FCAR		
KRTAP9-10P		
KRTAP29-1		
KRTAP9-4		
KIR2DL5B		
KRTAP9-6		
FCAR		
KRTAP9-7		
KIR2DL4		
U6		
KRTAP29-1		
KRTAP9-12P		
KRTAP9-11P		
		
